user_id,own_bm25
1,"[480014, 856942, 5577022, 9297615, 1074612]"
3,"[480014, 998206, 1092937, 1092026, 921345]"
6,"[480014, 1119051, 13003092, 9911484, 863447]"
7,"[480014, 9338009, 6944571, 1122358, 1075524]"
8,"[480014, 1116578, 969932, 1105433, 981660]"
9,"[480014, 1056005, 862799, 1039126, 1040346]"
13,"[480014, 6544236, 893802, 965772, 1038985]"
14,"[480014, 6533765, 1008673, 1056651, 1013928]"
15,"[480014, 1070820, 910439, 1053530, 1034956]"
16,"[480014, 6410462, 923149, 1084551, 1035843]"
17,"[480014, 833351, 982989, 5568072, 5567874]"
18,"[480014, 948420, 9677886, 1022066, 6533889]"
19,"[480014, 962229, 1033615, 879755, 1031083]"
20,"[480014, 949836, 1123106, 1075368, 894360]"
22,"[480014, 1104349, 1018339, 1070820, 900311]"
23,"[480014, 1075368, 1138858, 1010440, 1005274]"
24,"[480014, 1036501, 1016800, 926905, 1008814]"
25,"[480014, 1118281, 1012284, 1075786, 1075793]"
26,"[480014, 1021133, 1070015, 8119303, 985119]"
27,"[480014, 1052920, 1029252, 1102416, 1101589]"
28,"[480014, 992730, 854900, 861419, 1112238]"
29,"[480014, 834833, 1033615, 1026346, 1021133]"
30,"[480014, 900112, 1062572, 6534178, 918046]"
31,"[480014, 1057260, 1062128, 9526100, 968992]"
32,"[480014, 397896, 972569, 1003441, 959737]"
33,"[480014, 968146, 920844, 1116682, 970792]"
34,"[480014, 6534657, 1122405, 829722, 1096791]"
35,"[480014, 953539, 1126899, 943141, 1033857]"
36,"[480014, 1007136, 861445, 1047076, 849578]"
37,"[480014, 1097001, 1067695, 1056212, 916990]"
39,"[480014, 1127716, 6395907, 1126899, 1138487]"
40,"[480014, 1056651, 928092, 1076587, 1112205]"
41,"[480014, 1120009, 5995445, 909714, 827806]"
42,"[480014, 976998, 839656, 1112766, 1060673]"
43,"[480014, 821787, 1120741, 1010190, 890455]"
46,"[480014, 862335, 6544236, 889649, 7442008]"
47,"[480014, 6533681, 934948, 888835, 948665]"
48,"[480014, 956813, 7168890, 885356, 9420312]"
49,"[480014, 831808, 1139782, 1014915, 1033846]"
52,"[480014, 1088393, 878880, 850795, 883940]"
53,"[480014, 964853, 5569471, 1105623, 906335]"
55,"[480014, 844165, 849843, 995722, 1115800]"
56,"[480014, 1056651, 9803545, 1068651, 5568072]"
57,"[480014, 947147, 931108, 861615, 987237]"
58,"[480014, 1095275, 1054216, 1058997, 916758]"
59,"[480014, 957951, 1024032, 1095700, 1053016]"
60,"[480014, 828427, 1094371, 1073150, 1011645]"
63,"[1062572, 480014, 1125123, 1020823, 883940]"
64,"[480014, 978965, 894236, 1013928, 1111839]"
65,"[480014, 1070820, 906262, 962229, 834103]"
67,"[480014, 7025114, 9420067, 971922, 914697]"
68,"[480014, 1085604, 1037894, 9527158, 861445]"
69,"[480014, 1044188, 1019497, 985119, 1127470]"
70,"[894236, 1039156, 1044153, 480014, 5995609]"
71,"[480014, 1056509, 926905, 1016800, 1090931]"
72,"[480014, 8019681, 1011645, 1039549, 1073775]"
73,"[480014, 1008596, 7024847, 850795, 1130581]"
74,"[480014, 1126045, 10204735, 830795, 863337]"
75,"[480014, 545926, 707683]"
76,"[480014, 1075827, 899682, 1066685, 938187]"
77,"[480014, 6979128, 1126899, 849578, 1106523]"
78,"[480014, 9573206, 9420336, 1081421, 5591154]"
79,"[480014, 1010164, 1070015, 6533889, 989157]"
80,"[480014, 1055504, 969866, 910673, 931532]"
81,"[480014, 844165, 953134, 845193, 898847]"
82,"[1084036, 849202, 480014, 1119761, 819308]"
83,"[480014, 1033324, 1059902, 879393, 877226]"
84,"[480014, 829722, 1001646, 862732, 1080414]"
85,"[480014, 983936, 1021519, 839094, 1139782]"
86,"[480014, 865026, 899201, 8090565, 8090519]"
87,"[480014, 8293385, 1083043, 1048257, 881883]"
88,"[480014, 1082990, 1075368, 1015826, 913270]"
89,"[480014, 9296804, 941313, 12731306, 851057]"
90,"[480014, 862535, 6464166, 1135552, 1070820]"
91,"[480014, 1056651, 1024833, 854483, 1088147]"
92,"[480014, 987838, 895268, 1404121, 911409]"
94,"[480014, 1005186, 1131351, 1115874, 992529]"
95,"[480014, 6533889, 922561, 848015, 908531]"
97,"[480014, 1075368, 1034176, 1020823, 926905]"
98,"[480014, 1091858, 942088, 878302, 1018278]"
99,"[480014, 824073, 886125, 1013528, 1073150]"
101,"[480014, 6533765, 1123106, 1001277, 1079820]"
103,"[480014, 961846, 1089766, 1106523, 10356441]"
104,"[480014, 996156, 930955, 1011300, 1002261]"
105,"[480014, 897413, 1135868, 1059308, 1139830]"
106,"[480014, 1116050, 6534178, 8019977, 1127179]"
108,"[480014, 962266, 888586, 912681, 968936]"
109,"[480014, 12731436, 856215, 862682, 1058997]"
110,"[480014, 860975, 1082310, 1133018, 6534178]"
111,"[480014, 9677874, 932179, 5566809, 1071277]"
112,"[480014, 1011300, 6534178, 1022066, 905436]"
113,"[480014, 1018339, 968774, 893739, 833458]"
114,"[480014, 5568489, 885697, 875392, 1046689]"
115,"[480014, 918598, 1137507, 989275, 12648296]"
116,"[1014732, 480014, 1019637, 1013703, 850058]"
117,"[480014, 1056651, 1089392, 1042702, 852360]"
118,"[480014, 1083043, 1048893, 825753, 1003178]"
119,"[480014, 1119399, 818980, 5565664, 972456]"
120,"[1007136, 480014, 1061394, 1068957, 1110843]"
121,"[480014, 12130522, 1033615, 989069, 823915]"
122,"[480014, 839849, 6464147, 962118, 1086119]"
123,"[480014, 896617, 1126899, 819063, 1056509]"
124,"[480014, 1037840, 1039781, 904813, 1012922]"
125,"[480014, 965772, 890689, 916990, 6544236]"
127,"[480014, 964594, 13842214, 945456, 1075368]"
128,"[480014, 1015296, 1051516, 1098248, 969932]"
131,"[480014, 1098284, 397896, 1075214, 821083]"
132,"[480014, 5565784, 1067443, 1108094, 1058997]"
133,"[480014, 9242918, 5568228, 830503, 1132771]"
135,"[480014, 926422, 862349, 898121, 1046584]"
136,"[480014, 8090539, 865511, 1089766, 1114050]"
138,"[480014, 960318, 908346, 979566, 1070820]"
139,"[480014, 978983, 1005898, 879755, 1038692]"
142,"[480014, 1093966, 1070015, 1074524, 1082212]"
143,"[480014, 1043920, 869195, 1056651, 1105467]"
144,"[480014, 901976, 879755, 943088, 5585510]"
145,"[480014, 926804, 839849, 871162, 1017061]"
147,"[480014, 981591, 916990, 1093334, 1010164]"
148,"[480014, 1003487, 5568489, 968992, 1069312]"
149,"[480014, 6533936, 873044, 821200, 1109778]"
151,"[480014, 963365, 999581, 959076, 9420067]"
152,"[480014, 1037332, 1121213, 993441, 1084310]"
153,"[822677, 480014, 8011397, 8011285, 916767]"
154,"[480014, 1030362, 1029252, 891542, 839094]"
155,"[480014, 1015280, 979877, 1107973, 872177]"
156,"[480014, 1083254, 942088, 9526254, 861445]"
157,"[480014, 919589, 6904925, 847207, 12524174]"
158,"[480014, 862349, 7025106, 12731714, 1025641]"
159,"[480014, 8205218, 1021133, 996574, 1106520]"
160,"[480014, 5580525, 894236, 1135834, 833598]"
161,"[480014, 868764, 871162, 1123792, 9677202]"
162,"[480014, 902856, 964521, 1122358, 1031906]"
163,"[480014, 977268, 893802, 6533936, 944137]"
164,"[480014, 1075305, 968932, 13115493, 1058554]"
165,"[480014, 1070820, 8090556, 862349, 8205218]"
166,"[1075368, 480014, 1100265, 944486, 1106523]"
167,"[480014, 1072693, 962266, 1009046, 864279]"
171,"[480014, 905817, 936924, 987724, 834103]"
172,"[6533765, 480014, 6534178, 932298, 1053690]"
175,"[480014, 901452, 1065303, 919644, 991379]"
177,"[480014, 1059236, 824303, 10250438, 991959]"
178,"[480014, 963686, 972312, 1056651, 925258]"
180,"[480014, 1013928, 977543, 8177622, 830503]"
182,"[480014, 1043006, 1116578, 884897, 962118]"
183,"[480014, 1135681, 1081853, 8180870, 938690]"
184,"[480014, 896085, 5572234, 6533936, 1056746]"
185,"[480014, 1101771, 870428, 861701, 1085604]"
188,"[480014, 1033615, 868909, 1040842, 834833]"
189,"[480014, 9707498, 996156, 7462562, 1124971]"
191,"[480014, 1104349, 1007082, 6632283, 1036347]"
192,"[480014, 1082212, 5569230, 5995483, 1100265]"
193,"[480014, 6704207, 1054216, 6534178, 991592]"
194,"[480014, 6391381, 987838, 9523079, 879506]"
195,"[480014, 821344, 899682, 7167836, 1062128]"
196,"[480014, 1037840, 1102456, 926905, 1067011]"
197,"[480014, 9881593, 9526770, 1126899, 963835]"
198,"[480014, 1069175, 1085604, 819765, 961846]"
199,"[480014, 948420, 859237, 990004, 7409664]"
200,"[480014, 1037894, 935546, 1138189, 822677]"
201,"[480014, 1138292, 1066893, 1108168, 8205218]"
203,"[480014, 1082990, 891752, 1069175, 839346]"
204,"[480014, 861445, 938118, 923670, 1097635]"
205,"[480014, 6533437, 1106523, 1028816, 1026118]"
206,"[480014, 926905, 953539, 948190, 957951]"
207,"[480014, 876806, 1077048, 983078, 1138189]"
208,"[480014, 854133, 1055425, 879504, 1040781]"
209,"[480014, 1056212, 6533765, 885430, 957951]"
210,"[480014, 879755, 1034134, 978354, 1109805]"
211,"[480014, 841266, 962229, 856942, 972312]"
212,"[480014, 397896, 6533362, 1081189, 832442]"
214,"[480014, 838258, 872729, 896444, 905436]"
215,"[480014, 895540, 1404121, 5587837, 906658]"
216,"[480014, 6533936, 1059763, 974156, 910109]"
217,"[480014, 841266, 895930, 996087, 847207]"
218,"[480014, 965772, 894439, 1097001, 6544236]"
219,"[480014, 843689, 1076580, 5568447, 916758]"
220,"[480014, 5590287, 5584007, 5585735, 6534166]"
221,"[480014, 1133018, 820895, 849843, 915621]"
222,"[480014, 820301, 5586076, 5589247, 901403]"
223,"[480014, 879755, 864279, 1015247, 1111839]"
224,"[480014, 1089021, 1074509, 899459, 10204735]"
225,"[480014, 987122, 9858947, 851129, 1043663]"
226,"[480014, 1102416, 932503, 972629, 831888]"
227,"[480014, 5585186, 5587043, 5585636, 5578494]"
228,"[480014, 1139782, 1095275, 1042702, 848356]"
230,"[480014, 820560, 5572828, 8090532, 941183]"
232,"[480014, 6533765, 1016800, 861445, 6534178]"
233,"[480014, 994868, 1122568, 862535, 979057]"
235,"[480014, 862732, 983584, 1123434, 1121384]"
236,"[480014, 822677, 972037, 915617, 873527]"
237,"[480014, 881154, 851241, 1033707, 956995]"
238,"[1102416, 480014, 948670, 868764, 947201]"
239,"[480014, 910439, 870980, 5591627, 1120741]"
240,"[480014, 1101589, 9420286, 7408211, 7431990]"
242,"[480014, 853643, 837098, 862732, 865156]"
243,"[480014, 1135044, 1126899, 1117393, 996114]"
244,"[480014, 968057, 1070716, 1041476, 10284972]"
245,"[480014, 1404121, 1092446, 1023958, 972416]"
246,"[480014, 1048472, 978313, 1070820, 862349]"
247,"[480014, 1056651, 878445, 827176, 900112]"
248,"[480014, 9884484, 862732, 946995, 977166]"
249,"[480014, 1053690, 883404, 1029195, 1029743]"
250,"[480014, 923169, 923967, 1035946, 1076875]"
251,"[480014, 858478, 1070820, 1040807, 907631]"
253,"[480014, 9527487, 965693, 1062966, 1131312]"
254,"[480014, 862535, 9573206, 859237, 831536]"
255,"[480014, 1115576, 1022199, 947146, 1082212]"
256,"[480014, 1017195, 1111786, 999631, 1101706]"
257,"[480014, 834833, 1070015, 1033615, 1093413]"
258,"[480014, 1120741, 862349, 824796, 9420312]"
259,"[480014, 881154, 1087605, 5995281, 943169]"
260,"[480014, 1028816, 938203, 898869, 921836]"
261,"[480014, 6534178, 7167945, 1111786, 989101]"
262,"[480014, 1008814, 1124971, 1111986, 1058997]"
263,"[480014, 861494, 843111, 1029743, 1030093]"
267,"[901976, 480014, 1101771, 935393, 5569098]"
